//Dictionary
a	nho, mot it
arrow	ten, mui ten
art	nghe thuat, my thuat
article	bai bao, de muc
artificial	nhan tao
artificially	nhan tao
artist	nghe si
artistic	thuoc nghe thuat, thuoc my thuat
as	nhu (as you know...)
as well	cung, cung nhu
ashamed	nguong, xau ho
aside	ve mot ben, sang mot ben. aside from: ngoai ra, tru ra
ask	hoi
asleep	ngu, dang ngu. fall asleep ngu thiep di
aspect	ve be ngoai, dien mao
assist	giup, giup do; tham du, co mat
assistance	su giup do 
assistant	nguoi giup do, nguoi phu ta; giup do
associate	ket giao, lien ket, ket hop, cho cong tac. associated with lien ket voi
association	su ket hop, su lien ket
assume	mang, khoac, co, lay (cai ve, tinh chat...)
assure	dam bao, cam doan
atmosphere	khi quyen
atom	nguyen tu
attach	gan, dan, troi, buoc
attached	gan bo
attack	su tan cong, su cong kich; tan cong, cong kich
attempt	su co gang, su thu; co gang, thu
attempted	co gang, thu
attend	du, co mat
attention	su chu y
attitude	thai do, quan diem
attorney	nguoi duoc uy quyen
attract	hut; thu hut, hap dan
attraction	su hut, suc hut
attractive	hut, thu hut, co duyen, loi cuon
audience	thinh, khan gia
august	thang tam
aunt	co, di
author	tac gia
authority	uy quyen, quyen luc
automatic	tu dong
automatically	mot cach tu dong
autumn	mua thu (us: mua thu la fall)
available	co the dung duoc, co gia tri, hieu luc
average	trung binh, so trung binh, muc trung binh 
avoid	tranh, tranh xa
awake	danh thuc, lam thuc day
award	phan thuong; tang, thuong
aware	biet, nhan thuc, nhan thuc thay
away	xa, xa cach, roi xa, di xa
awful	oai nghiem, de so
awfully	tan khoc, khung khiep
awkward	vung ve, lung tung
awkwardly	vung ve, lung tung
back	lung, sau, ve phia sau, tro lai
background	phia sau; nen
backward	ve phia sau, lui lai
backwards	nguoc
bacteria	vi khuan
bad	xau, toi. go bad ban thiu, thoi, hong
badly	xau, toi
bad-tempered	xau tinh, de noi cau
bag	bao, tui, cap xach
baggage	hanh ly
bake	nung, nuong bang lo
balance	cai can; lam cho can bang, tuong xung
ball	qua bong
ban	cam, cam chi; su cam
band	bang, dai, nep
bandage	dai bang; bang bo
bank	bo (song...) , de
bar	quan ban ruou
bargain	su mac ca, su giao keo mua ban
barrier	dat chuong ngai vat
base	co so, co ban, nen mong; dat ten, dat co so tren cai gi. based on dua tren
basic	co ban, co so
basis	nen tang, co so
bath	su tam
bathroom	buong tam, nha ve sinh
battery	pin, ac quy
battle	tran danh, chien thuat
bay	gian (nha), nhip (cau), chuong (ngua); bays: vong nguyet que, vinh
beach	bai bien
beak	mo chim
bear	mang, cam, vac, deo, om
beard	rau
beat	tieng dap, su dap; danh dap, dam
beautiful	dep
beautifully	tot dep, dang hai long
beauty	ve dep, cai dep; nguoi dep
because	boi vi, vi. because of prep. vi, do boi
become	tro thanh, tro nen
bed	cai giuong
bedroom	phong ngu
beef	thit bo
beer	ruou bia
before	truoc, dang truoc
begin	bat dau, khoi dau
beginning	phan dau, luc bat dau, luc khoi dau
behalf	su thay mat. on behalf of sb thay mat cho ai, nhan danh ai
behave	doi xu, an o, cu xu
behaviour	thai do, cach doi xu; cach cu xu, >cach an o; tu cach dao duc
behind	sau, o dang sau
belief	long tin, duc tin, su tin tuong
believe	tin, tin tuong
bell	cai chuong, tieng chuong
belong	thuoc ve, cua, thuoc quyen so huu
below	o duoi, duoi thap, phia duoi
belt	day lung, that lung
bend	cho re, cho uon; khuyu tay; cui >xuong, uon cong
beneath	o duoi, duoi thap
benefit	loi, loi ich; giup ich, lam loi cho
bent	khieu, so thich, khuynh huong
beside	ben canh, so voi
bet	danh cuoc, ca cuoc; su danh >cuoc
better	tot hon
best	tot nhat
betting	su danh cuoc
between	giua, o giua
beyond	o >xa, phia ben kia
bicycle	xe dap
bid	dat gia, tra gia; su dat gia, su tra >gia
big	to, lon
